rank,label,run_name,phase,width,final_epochs,seed,test_q8,test_loss
1,P4 | c320 | e24 | s7,p4_07_resdil_b42_ce_none_c320_e24_seed7,research_phase4,320,24,7,0.692620775084056,0.9241558083565068
2,S2 | c320 | e18 | s42,s2_01_s1_06_resdil_cnn1d_baseline42_ce_none_c320,research_stage2,320,18,42,0.691877543797558,0.9327419892022907
3,P4 | c320 | e18 | s42,p4_01_resdil_b42_ce_none_c320_e18,research_phase4,320,18,42,0.691877543797558,0.9327419892022907
4,S3 | c192 | e24 | s13,s3_02_s1_02_resdil_cnn1d_baseline42_ce_none_c192_seed13,research_stage3_confirm,192,24,13,0.6917241786114552,0.8843403771444949
5,S3 | c256 | e24 | s21,s3_03_s1_04_resdil_cnn1d_baseline42_ce_none_c256_seed21,research_stage3_confirm,256,24,21,0.6912994750191707,0.9025384760666603
6,P4 | c320 | e24 | s13,p4_08_resdil_b42_ce_none_c320_e24_seed13,research_phase4,320,24,13,0.6904854598006253,0.9252064668428355
7,S3 | c192 | e24 | s21,s3_02_s1_02_resdil_cnn1d_baseline42_ce_none_c192_seed21,research_stage3_confirm,192,24,21,0.6904146758685779,0.8919076921524555
8,S3 | c320 | e24 | s13,s3_01_s1_06_resdil_cnn1d_baseline42_ce_none_c320_seed13,research_stage3_confirm,320,24,13,0.6901433374623961,0.8822490209240144
9,S3 | c256 | e24 | s7,s3_03_s1_04_resdil_cnn1d_baseline42_ce_none_c256_seed7,research_stage3_confirm,256,24,7,0.6899545803102696,0.9228683034157054
10,P4 | c320 | e24 | s42,p4_02_resdil_b42_ce_none_c320_e24,research_phase4,320,24,42,0.6897422285141273,0.8928070159209609
11,S3 | c320 | e24 | s7,s3_01_s1_06_resdil_cnn1d_baseline42_ce_none_c320_seed7,research_stage3_confirm,320,24,7,0.6888692266855424,0.9579986312224409
12,S3 | c320 | e24 | s21,s3_01_s1_06_resdil_cnn1d_baseline42_ce_none_c320_seed21,research_stage3_confirm,320,24,21,0.6885035097032973,0.8964693521466051
13,S2 | c192 | e18 | s42,s2_02_s1_02_resdil_cnn1d_baseline42_ce_none_c192,research_stage2,192,18,42,0.6879490355689258,0.9243098343170365
14,S3 | c192 | e24 | s7,s3_02_s1_02_resdil_cnn1d_baseline42_ce_none_c192_seed7,research_stage3_confirm,192,24,7,0.68792544092491,0.8853552944658921
15,S2 | c256 | e18 | s42,s2_06_s1_04_resdil_cnn1d_baseline42_ce_none_c256,research_stage2,256,18,42,0.6877720757388073,0.887168005560096
16,S3 | c256 | e24 | s13,s3_03_s1_04_resdil_cnn1d_baseline42_ce_none_c256_seed13,research_stage3_confirm,256,24,13,0.6874181560785702,0.8938031626248342
17,P4 | c384 | e24 | s42,p4_03_resdil_b42_ce_none_c384_e24,research_phase4,384,24,42,0.6869698578422698,0.8939411529086652
